tweet_id,user_handle,timestamp,tweet_text,candidate,party,retweets,likes,sentiment
1,@user123,11/3/2024 8:45,Excited to see Kamala Harris leading the Democratic charge!,Kamala Harris,Democratic Party,120,450,positive
2,@politicsFan,11/3/2024 9:15,Donald Trump's policies are the best for our economy.,Donald Trump,Republican Party,85,300,positive
3,@greenAdvocate,11/3/2024 10:05,Jill Stein's environmental plans are exactly what we need.,Jill Stein,Green Party,60,200,positive
4,@indieVoice,11/3/2024 11:20,Robert Kennedy offers a fresh perspective outside the two-party system.,Robert Kennedy,Independent,40,150,neutral
5,@libertyLover,11/3/2024 12:35,Chase Oliver's libertarian stance promotes true freedom.,Chase Oliver,Libertarian Party,30,120,positive
6,@user456,11/4/2024 8:50,Kamala Harris has been a strong advocate for healthcare reform.,Kamala Harris,Democratic Party,95,380,positive
7,@econGuru,11/4/2024 9:25,Trump's tax policies will benefit small businesses.,Donald Trump,Republican Party,110,500,positive
8,@ecoWarrior,11/4/2024 10:15,Jill Stein's green initiatives could save our planet.,Jill Stein,Green Party,70,250,positive
9,@neutralNow,11/4/2024 11:45,Robert Kennedy is running as an independent; interesting choice.,Robert Kennedy,Independent,25,100,neutral
10,@freedomFirst,11/4/2024 12:55,Chase Oliver promotes minimal government intervention. Love it!,Chase Oliver,Libertarian Party,50,180,positive
11,@user789,11/5/2024 8:30,Kamala Harris is tackling education issues head-on.,Kamala Harris,Democratic Party,80,320,positive
12,@taxTalk,11/5/2024 9:10,Trump's latest policy could lower taxes for the middle class.,Donald Trump,Republican Party,95,400,positive
13,@sustainability,11/5/2024 10:25,Jill Stein's renewable energy plans are ambitious.,Jill Stein,Green Party,65,220,positive
14,@indepThought,11/5/2024 11:35,Robert Kennedy might disrupt the traditional party dynamics.,Robert Kennedy,Independent,35,130,neutral
15,@libertySeek,11/5/2024 12:45,Chase Oliver's views on personal freedom are refreshing.,Chase Oliver,Libertarian Party,45,160,positive
16,@user321,11/6/2024 8:55,Kamala Harris is making strides in criminal justice reform.,Kamala Harris,Democratic Party,90,350,positive
17,@businessInsider,11/6/2024 9:20,Trump's deregulation efforts are boosting the stock market.,Donald Trump,Republican Party,100,450,positive
18,@greenFuture,11/6/2024 10:40,Jill Stein advocates for sustainable agriculture.,Jill Stein,Green Party,55,190,positive
19,@watchingNow,11/6/2024 11:50,Robert Kennedy's independent run adds more choices for voters.,Robert Kennedy,Independent,30,110,neutral
20,@freeMarket,11/6/2024 12:30,Chase Oliver supports free-market solutions for healthcare.,Chase Oliver,Libertarian Party,40,140,positive
21,@user654,11/7/2024 8:40,Kamala Harris is a strong leader for progressive change.,Kamala Harris,Democratic Party,85,330,positive
22,@policyMaker,11/7/2024 9:30,Trump's stance on immigration is reshaping national policy.,Donald Trump,Republican Party,105,470,negative
23,@ecoSupport,11/7/2024 10:10,Jill Stein's proposals for green jobs are commendable.,Jill Stein,Green Party,60,210,positive
24,@neutralThoughts,11/7/2024 11:25,Robert Kennedy's platform as an independent is unclear.,Robert Kennedy,Independent,20,90,neutral
25,@freedomVoice,11/7/2024 12:15,Chase Oliver emphasizes individual liberties in his campaign.,Chase Oliver,Libertarian Party,35,130,positive
26,@user987,11/8/2024 8:35,Kamala Harris continues to push for affordable housing.,Kamala Harris,Democratic Party,75,290,positive
27,@marketWatch,11/8/2024 9:05,Trump's economic policies are controversial but effective.,Donald Trump,Republican Party,115,480,neutral
28,@greenInitiative,11/8/2024 10:20,Jill Stein is focusing on climate change legislation.,Jill Stein,Green Party,70,230,positive
29,@indieSupport,11/8/2024 11:40,Robert Kennedy offers an alternative to traditional parties.,Robert Kennedy,Independent,28,105,neutral
30,@libertyRights,11/8/2024 12:50,Chase Oliver advocates for gun rights and personal freedom.,Chase Oliver,Libertarian Party,50,170,positive
31,@user159,11/9/2024 8:25,Kamala Harris is addressing income inequality in her speeches.,Kamala Harris,Democratic Party,80,310,positive
32,@taxPolicy,11/9/2024 9:40,Trump's tax cuts are benefiting the wealthy disproportionately.,Donald Trump,Republican Party,90,420,negative
33,@sustainableLiving,11/9/2024 10:30,Jill Stein promotes electric vehicles to reduce emissions.,Jill Stein,Green Party,65,205,positive
34,@independantView,11/9/2024 11:55,Robert Kennedy's policies are a mix of left and right ideologies.,Robert Kennedy,Independent,22,95,neutral
35,@freedomAdvocate,11/9/2024 12:40,Chase Oliver's economic plans prioritize individual choice.,Chase Oliver,Libertarian Party,45,150,positive
